Team,Sprint Set,Quarter,Date,Week #,Day 1 Close Target End Date,Close Category,Day 1 Close Theme,OKR,Key Result,Week Focus and Tasks,End of Week Deliverable / Milestone,Hours Saved,Owner(s),Dependencies,Status,Notes,Link
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,9/30/2026,Accruals,Scope and testing of accrual automation tool,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 1: Onboard WiseLayer accruals.ai by October close,"Onboard Wiselayer's accrual.ai tool in advance of October close. Connect to Netsuite and Zip, fill out onboarding forms, and prep the AI bot within the tool to understand our use case. Then, use the tool during October close alongside our current process.","- Connect to Netsuite and Zip platforms, and fill out onboarding forms from the vendor. 
- Meet with accruals.ai for onboarding kick off session (pending scheduling)",0,Justine O'Sullivan,,Complete,Financetech Ticket,
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,1/31/2026,Close Management,Build out Numeric instance,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 2: Leverage monitors to track coding changes,Input coding change requests monitors into Numeric for continuous monitoring of correct coding,All FY25 and FY26 coding change requests should be entered into Numeric and reviewed,1.5,Justine O'Sullivan,formatting in Numeric to function as expected,Complete,,
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,10/31/2025,Financial Reporting,Reduce coding reclasses,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 4: Reduce coding changes / catch coding errors during Zip invoice review,Alert FBOS to count of errors,"- Slack message for count of errors related to coding
- This key result is ongoing in nature",1,Justine O'Sullivan,N/A,Complete,can this be automated with a bot?,
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,1/31/2026,Close Management,Build out Numeric instance,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 3: AI flux bot enhancements,"Review OpEx flux templates and increase accuracy through the AI bot, reducing time fluxing by 2+ hours","- Review and optimize the flux template (OpEx - vendors)
- Work through test examples using the AI Bot conversational tool to understand what additional information can we give the bot to enhance our fluxes",2,Justine O'Sullivan,,Complete,,
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,1/31/2025,Acquistion,Integrate Guideline accounting operations,C.A. 5 Integrate Guideline acquisition into our Corporate accounting operations by Q3,"KR 1: Create entity structure in NS - Christina Denton for hierarchy
",Work with x-functional stakeholders to ensure set up is correct,Set up in Sandbox by week-end,,Rachele/Charles,Legal/Tax team being finalized and FNT,Complete,Entity set up in SB wee of 10/6,
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,9/30/2026,Leases,Automate lease journal entries,C.A. 1 Increase OpEx Accuracy & Reliability by utilizing automation,KR 5: Automate lease journal entries,"1. Regroup with Spacebase team, discuss last week action items, align on next steps
2. Review Spacebase Custom JE report edits
3. Iterate on One Penn Plaza + 1515 Arapahoe lease entry into Spacebase","1. Custom JE report needs to be close to done
2. One Penn Plaza + 1515 Arapahoe needs to be into Spacebase",1,Selena Ochoa,,Complete,"Custom report is 80% done. Final edits to be completed by end of next week. 

Spacebase has provided an amortization schedule that agrees with our records for 1515 Arapahoe, moving forward with adding this to Spacebase. Communicated to Spacebase to mirror the same approach for One Penn Plaza, awaiting response as of 9.29.25.",
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,9/30/2026,Cash & Cash Equivalents,Scope and plan reducing corporate cash to BD1,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,"KR 4:  Close Cash on BD 3
KR 5 : Close Cash on BD 2","- Root cause analysis of current delays leading to BD 5 close
- Determine solutions",Alignment with D&V on go forward,8,Charles Sikazwe,"D&V capacity
Cross-functional partners
AI quick wins",Complete,Done,Close Cash Faster est. 09/2025
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,4/30/2026,Intercompany,Fully automate Transfer Pricing calculations in NS,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,KR 1:  Record all International intercompany revenue and expenses with TP Automation module,Assess current blockers for entities not using the tool,Complete documentation to be provided to FNT (Ravi),2,Charles Sikazwe,FNT support,Complete,Done,https://gustohq.atlassian.net/browse/FNT-3368
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,10/31/2025,Intercompany,Documenting Intercompany process,C.A. 3 Build a scalable international accounting function to support Gusto's global growth.,"KR 2: 
- Launch I/C Customer/Vendor profiles for all entities that transact with I/C GL accounts
- Establish system (Netsuite) I/C Billings & Invoicing in Netsuite
- System Intercompany Settlement",Documentation of current state,Complete documentation to be provided to FNT (Ravi/Isik),3,Charles Sikazwe,"FNT support
D&V capacity",Complete,Done,"Intercompany Improvements est. 10/2025
https://gustohq.atlassian.net/browse/FNT-3393 "
Corporate Accounting,Set 1,Q2'26,9/22/2025,1,1/31/2025,Sales Commission,Automate EE data from NS into Xactly,C.A. 2 Enhance Close Optimization and Streamline Financial Processes ,KR 6: Automate EE data from NS into Xactly,"1. Regroup w/ team, discuss last week action items, align on next steps
2. Status update on integration
3. Team to align on timeline",1. John has NetSuite access credentials for build,0,Selena Ochoa,"John Barsoum (Ackle Consulting), FNT",Complete,"John has been unresponsive to our requests or a no-show during scheduled calls. This has pushed back our progress by a week. In addition, he is having NS connection issues which due to his delayed response is contributing to the delay. ",
